순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,(趙庭來 大河小說) 太白山脈,저자: 조정래,해냄,1995,4,9788973374113,3810,813.62,"52,107"
2,내 이름은 오빠 ,아이하라 히로유키 글 ;김정화 옮김,밝은미래,2009,,9788992693318,73830,833.6,"37,288"
3,아프리카행 특급열차:이윤아 장편소설,지은이: 이윤아,영상노트,2006,,9788956516714,4810,813.6,"18,468"
4,(사진과 그림으로 보는)한국사 편지,박은봉 지음;류동필...[등]그림,웅진닷컴,2002-2003,2,9788901039121,74910,911,"16,457"
5,(趙廷來 大河小說) 太白山脈,저자: 조정래,해냄,2002,6,9788973374137,3810,813.6,"11,905"
6,두근두근 내 인생 :김애란 장편소설 ,지은이: 김애란,창비,2011,,9788936433871,3810,813.7,"10,161"
7,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,1,9788965744023,4810,813.62,"9,934"
8,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9788972756194,3830,833.6,"9,361"
9,"멈추면, 비로소 보이는 것들 :혜민 스님과 함께하는 내 마음 다시보기 ",혜민 지음 ;우창헌 그림,쌤앤파커스,2012,,9788965700609,3810,818,"9,112"
10,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,,9788956604992,3810,813.7,"8,660"
11,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,2013,,9788932916194,3850,859.7,"8,375"
12,빅 픽처 :더글라스 케네디 장편소설 ,지은이: 더글라스 케네디 ;옮긴이: 조동섭,밝은 세상,2010,,9788984371026,3840,843.5,"8,118"
13,28 :정유정 장편소설 ,지은이: 정유정,은행나무,2013,,9788956607030,3810,813.7,"8,023"
14,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,2,9788965744030,4810,813.62,"7,762"
15,꾸뻬 씨의 행복 여행,프랑수아 를로르 지음;오유란 옮김,오래된미래,2004,,9788995501443,3860,863,"7,542"
16,박사가 사랑한 수식,오가와 요코 지음;김난주 옮김,이레,2004,,9788957090251,3830,833.6,"7,442"
17,엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,2008,,9788936433673,3810,813.7,"7,274"
18,여덟 단어 :인생을 대하는 우리의 자세 ,박웅현 지음,북하우스 퍼블리셔스,2013,,9788956056531,3810,818,"7,143"
19,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,3,9788965744047,4810,813.62,"7,136"
20,1cm+ =우리 인생에 더하고 싶은 1cm의 □를 찾아서 /일 센티 플러스 ,글: 김은주 ;그림: 양현정,백도씨,2013,,9788968330124,3810,818,"7,120"
21,(강신주의) 감정수업 :스피노자와 함께 배우는 인간의 48가지 얼굴 ,지은이: 강신주,민음사,2013,,9788937488351,3100,181.7,"6,847"
22,내일 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2013,,9788984371286,3860,863,"6,793"
